Evaluation results:
	Category: cleanliness
		Precision: 0.8836066449441804
		Recall: 0.8511907672746833
		F1-score: 0.8603578488519439
		Wrong classification:
			Sentence: Very disappointed in what we booked as an ocean view room that ended up being a tree and rooftop view
			Actual: 0
			Prediction: 1
			Sentence: Side note The bedding was amazing
			Actual: 1
			Prediction: 0
			Sentence: Room charges on my bill were strange I was charged twice each day for room tax and cta fee
			Actual: 0
			Prediction: 1
			Sentence: The shower was enormous
			Actual: 1
			Prediction: 0
			Sentence: The room was dusty especially around coffeemaker countertop
			Actual: 0
			Prediction: 1
			Sentence: There is no elevatot and all the rooms are on the second floor
			Actual: 0
			Prediction: 1
			Sentence: Rooms are a bit small without desk or place to set up laptop but that was easily worked out
			Actual: 1
			Prediction: 0
			Sentence: Room was just liked it looked in the picture
			Actual: 1
			Prediction: 0
			Sentence: If you happen to stay on a bank holiday request a room not overlooking the beautiful park
			Actual: 1
			Prediction: 0
			Sentence: The hotel needs some refurbishing carpets saggy tiles cracked general maintenance but overall a very nice place
			Actual: 0
			Prediction: 1
			Sentence: The breakfast room was sunny but up a flight of stairs
			Actual: 0
			Prediction: 1
			Sentence: first room we got had some problems with ventilation but they changed it promptly
			Actual: 1
			Prediction: 0
			Sentence: the room is OK and the breakfast is awful nothing to eat
			Actual: 0
			Prediction: 1
			Sentence: need better lighting inside the room
			Actual: 0
			Prediction: 1
			Sentence: Luckily they put another bed in my room and only charged me a little extra per night
			Actual: 0
			Prediction: 1
			Sentence: The room needed a good cleaning especially the bathroom
			Actual: 0
			Prediction: 1
			Sentence: On positive side everything in room is operational and location is convenient close to Marineland and the falls
			Actual: 0
			Prediction: 1
			Sentence: Room is dark
			Actual: 0
			Prediction: 1
			Sentence: Think they would make sure my room was clean before I checked into it
			Actual: 0
			Prediction: 1
			Sentence: How about making sure my room is clean before I check in
			Actual: 0
			Prediction: 1
			Sentence: Only bad thing was the coffee maker was filthy
			Actual: 0
			Prediction: 1
		Number of wrong classification: 127 out of 620
	Category: staff
		Precision: 0.7471291866028709
		Recall: 0.533156796661852
		F1-score: 0.5088642194974149
		Wrong classification:
			Sentence: We had booked 3 rooms with children and were sitting relaxing outside when the kitchen staff started cleaning up
			Actual: 0
			Prediction: 1
			Sentence: Friendly staff good food nice bed no hot water in shower
			Actual: 0
			Prediction: 1
			Sentence: No issues clean comfortable Friendly staff
			Actual: 0
			Prediction: 1
			Sentence: Staff were as you expect good staff to be without being over the top
			Actual: 0
			Prediction: 1
			Sentence: Very kind and polite staff speak good English
			Actual: 0
			Prediction: 1
			Sentence: There WAS a dead cockroach on my bedside table and the place smelt musty
			Actual: 0
			Prediction: 1
			Sentence: Location was good staff was not helpful and room was dirty
			Actual: 0
			Prediction: 1
			Sentence: Staff were not friendly gud
			Actual: 0
			Prediction: 1
			Sentence: The front desk staff was the only silver lining at this place
			Actual: 0
			Prediction: 1
			Sentence: The room was filthy they dealt drugs outside all night long and the service was horrible
			Actual: 0
			Prediction: 1
			Sentence: Maid knocked on my door 10 mins before checkout and TOLD me to GET OUT
			Actual: 0
			Prediction: 1
			Sentence: Stay away
			Actual: 0
			Prediction: 1
			Sentence: Facility had nice staff however we found rat feces in the room the shower was literally a spicket in the wall and the building was in disaray
			Actual: 0
			Prediction: 1
			Sentence: The property did not offer any food service so you are forced to search the local area
			Actual: 0
			Prediction: 1
			Sentence: Also there was a advertising of a continiental breakfast and there was none as previously stated the property had no food service for their guests
			Actual: 0
			Prediction: 1
			Sentence: Some members of the staff were very nice and some were pretty rude
			Actual: 0
			Prediction: 1
			Sentence: Didn t look like pictures online WiFi was really poor had to ask for hot water but overall the staff was really nice and wasn t so bad after all
			Actual: 0
			Prediction: 1
			Sentence: Breakfast not available ans free coffee is available in reception but not in your room
			Actual: 1
			Prediction: 0
			Sentence: Close to everything was worse staying in staff was wonderful
			Actual: 0
			Prediction: 1
			Sentence: Hotel staff was nice and helpful but room was run down
			Actual: 0
			Prediction: 1
			Sentence: Grumpy manager
			Actual: 0
			Prediction: 1
			Sentence: I didnt expect the service like that
			Actual: 0
			Prediction: 1
			Sentence: The staff is nice and friendly what San Fun Resort is the hole in the wall in my room you can smell Sewage in the room coming from bathroom toilet bowl loose on the floor Now I see why there was 2 photos posted showing the bed front of Building
			Actual: 0
			Prediction: 1
			Sentence: Not comfortable with the neighborhood hotel or hotel staff
			Actual: 0
			Prediction: 1
			Sentence: Staff were abrupt bordering on rude
			Actual: 0
			Prediction: 1
			Sentence: Would have been nice had the staff turned on the AC with a reservation
			Actual: 0
			Prediction: 1
			Sentence: Staff service was horrible from front desk to restaurants lounges cleaning lady was the only one that smiled acknowledged customers with a warm smile on the 4th floor massage was excellent however staff could put a bit more effort in there services lack of parking required to park on street and continue to fill meter every 2 hrs inconvenient and costly
			Actual: 0
			Prediction: 1
			Sentence: Staff not super welcoming
			Actual: 0
			Prediction: 1
			Sentence: Manager and relief manager were present at our stay
			Actual: 0
			Prediction: 1
			Sentence: Left before reception opened rang later to find out about getting money refunded told it will take 5 days still waiting
			Actual: 0
			Prediction: 1
			Sentence: Customer service at the reception is below par
			Actual: 0
			Prediction: 1
			Sentence: Often loud and rude guests
			Actual: 0
			Prediction: 1
			Sentence: the reception and front office is very bad
			Actual: 0
			Prediction: 1
			Sentence: The front desk staff was less than friendly
			Actual: 0
			Prediction: 1
			Sentence: Definitely thumbs up had the best 4th of July the resort includes park tickets which is a huge help we will definitely do this again can t wait to come back
			Actual: 1
			Prediction: 0
			Sentence: Would be helpful to know when water park is not open
			Actual: 0
			Prediction: 1
			Sentence: Staffs are friendly however the hotel is really outdated
			Actual: 0
			Prediction: 1
			Sentence: The staff was nice the lobby was large and pleasant and the breakfast was good but the room was very old and smelly
			Actual: 0
			Prediction: 1
			Sentence: Night staff very unhelpful
			Actual: 0
			Prediction: 1
			Sentence: Had to call the housekeeping staff to clean it
			Actual: 0
			Prediction: 1
			Sentence: We were upgraded the manager told us
			Actual: 0
			Prediction: 1
			Sentence: as I am having the local I d hotel staff didn t allow me to stay in night
			Actual: 0
			Prediction: 1
			Sentence: Staff was good but they could have been more supportive due to which they in hospitality
			Actual: 0
			Prediction: 1
			Sentence: Services were accurate they were prompt and on time no issues
			Actual: 1
			Prediction: 0
			Sentence: Front desk appearance was good and lobby facility Staff was co operative and helpful
			Actual: 0
			Prediction: 1
			Sentence: The service provided at the hotel was good and on time provided and the staff behavior was good and they were accurate and quick in their work
			Actual: 0
			Prediction: 1
			Sentence: Service was on time Food was terrible
			Actual: 0
			Prediction: 1
			Sentence: Delay in check in manager denied to check in then after sometime he checkin but the room quality was very bad and in the hotel there is only 2 staff members 1 is manager and other waiter and no else was there in the hotel and breakfast you cannot have your choice of breakfast and the taste of breakfast is very bad and and tea is of full of water almost with no sugar i suggest everyone who is planning to visit hotel please check room before checkin and in my recommendation please if you pay genuine then go for genuine only
			Actual: 0
			Prediction: 1
			Sentence: Food service was not available
			Actual: 0
			Prediction: 1
			Sentence: staff behavior is good but food quality and tea not good
			Actual: 0
			Prediction: 1
			Sentence: need improves service quality
			Actual: 0
			Prediction: 1
			Sentence: Rooms are ok but the overall feeling with the staff was disappointing after been 15 days in India this was the only hotel were we did not felt the warmful service of all the country
			Actual: 0
			Prediction: 1
			Sentence: Staff was good but front office people did mistake in billing which was not acceptable
			Actual: 0
			Prediction: 1
			Sentence: Front office staff not I didn t feel comfortable
			Actual: 0
			Prediction: 1
			Sentence: Service was okay and decent
			Actual: 0
			Prediction: 1
			Sentence: good location new delhi tourist spots good cleanliness good customer service
			Actual: 0
			Prediction: 1
			Sentence: Managers were good general staff dont care
			Actual: 0
			Prediction: 1
			Sentence: Worst is the restarant service
			Actual: 0
			Prediction: 1
			Sentence: The staff at reception during the day time is rude and unprofessional
			Actual: 0
			Prediction: 1
			Sentence: Staff at checkin can be more polite other staff helpful
			Actual: 0
			Prediction: 1
			Sentence: decent staff and overall satisfactory stay for two nights with family
			Actual: 0
			Prediction: 1
			Sentence: Frankly speaking the hotel staff were better than the room
			Actual: 0
			Prediction: 1
			Sentence: no shampoo no shower gel no desk but quite and clean staffs are nice
			Actual: 0
			Prediction: 1
			Sentence: Positives were friendliness of staff price and allowed to have dog
			Actual: 0
			Prediction: 1
			Sentence: Staff scruffy and unshaven although pleasant
			Actual: 0
			Prediction: 1
			Sentence: i wish the staff was friendlier
			Actual: 0
			Prediction: 1
			Sentence: Desk staff and concierge were not knowledgeable about the area or helpful in any way
			Actual: 0
			Prediction: 1
			Sentence: The location is terrible the room was dirty and the people from the front desk where kind of rude
			Actual: 0
			Prediction: 1
			Sentence: ok staff are freindly room was ok if all you want to have is a place to put your head down for the nightbut would b
			Actual: 0
			Prediction: 1
			Sentence: Nice friendly and clean Motel
			Actual: 0
			Prediction: 1
			Sentence: The Flamingo is an affordable 80 s style motel that is comfortable and clean with pleasant staff and a pool and hot pool
			Actual: 0
			Prediction: 1
			Sentence: Carpeting and drapes
			Actual: 0
			Prediction: 1
			Sentence: Room fine but no on site parking no staff on Sunday afternoons hotel locked and accessed via a locked door with a room key dining room experience not tested as seldom open for business
			Actual: 0
			Prediction: 1
			Sentence: Sn overnight event in Newcastle resulted in us staying at the Clarendon
			Actual: 0
			Prediction: 1
			Sentence: Very rude office staff
			Actual: 0
			Prediction: 1
			Sentence: Accused me of being the bad guy when I complained about their service
			Actual: 0
			Prediction: 1
			Sentence: Profits over service is sad
			Actual: 0
			Prediction: 1
			Sentence: Very rude reception
			Actual: 0
			Prediction: 1
			Sentence: Not family friendly
			Actual: 0
			Prediction: 1
			Sentence: Beautiful resort with very poor beach access the beach is 3 4 miles away and must be reached by shuttle
			Actual: 0
			Prediction: 1
			Sentence: resort is great but across highway from ocean service is not great at the pool
			Actual: 0
			Prediction: 1
			Sentence: Food was great at the Golf club but room service food was not recommendable
			Actual: 0
			Prediction: 1
			Sentence: Our bath would not drain after taking a bath had to call service
			Actual: 0
			Prediction: 1
			Sentence: I was told the housekeeper from a temp service
			Actual: 0
			Prediction: 1
			Sentence: Beware of the front desk staff
			Actual: 0
			Prediction: 1
			Sentence: The bay provides a wide range of dishes next to your cabanas and the beach
			Actual: 0
			Prediction: 1
			Sentence: An average hotel with pleasant staff
			Actual: 0
			Prediction: 1
			Sentence: This is what I found under my matress
			Actual: 0
			Prediction: 1
			Sentence: Was told by staff that there was nothing they could do
			Actual: 0
			Prediction: 1
		Number of wrong classification: 89 out of 428
