sentence;cleanliness;food/drinks;location;room amenities;staff;other
Rating Details: The property manager was very unhelpful.;-;-;-;-;negative;-
The vacation rental was clean.;negative;-;-;-;-;-
I was more than happy with the location.;-;-;positive;-;-;-
I was more than satisfied with the condition of the vacation rental.;-;-;-;-;-;-
Overall I do not recommend this vacation rental.;-;-;-;-;-;-
Reviewer Comments: the condo was advertised as a 2 bdrm but one of the bdrm has no door  only sliding wooden doors separating it from the LR  there is no privacy.;-;negative;negative;negative;negative;-
The unit is a very 'windy' ;-;-;-;-;-;-
I would give it about 3 stars the bedscouches and chairs were not very comfortable ceiling fan in living room was not workingremote to tv was broke needed a lounge back chair on balcony no fitness room or equipment beach in front fenced off sand bagslittle beach spot nextdoor nice little pool and pool area nice place but would spend more and stay at bigger resort next time;-;-;-;negative;-;-
Our family had a great stay in Maui at this condo.;-;-;-;-;-;-
They offered us an early check in.;-;-;-;-;-;-
Easy close walk to pool beach and snorkeling.;-;-;positive;-;-;-
Unit was clean comfy and plenty of room for 6 of us.;positive;-;-;positive;-;-
It also was well equipped with house supplies and beach items.;-;-;-;-;-;-
We would definitely stay here again.;-;-;-;-;-;-
Thank you for the great family memories!;-;-;-;-;-;-
This place was clean and pretty.;positive;-;-;-;-;-
You have an amazing view of the ocean and nice patio furniture on the deck that seats many people.;-;-;-;-;-;-
The place has no air conditioning and I wish we hadn't gone in August.;-;-;-;negative;-;-
I think it would have been find for a breezier month.;-;-;-;-;-;-
The property is kept in perfect condition and the flowers are just unbelievable.;-;-;-;-;-;-
The pullout bed on the couch cannot be used and needs repair or to be replaced.;-;-;-;-;-;-
Overall this place is a DREAM.;-;-;-;-;-;-
Hard to beat the view the location the furnishings and facilities!;-;-;positive;-;-;-
Great ocean breeze through the condo and the sound of waves to relax with.;-;-;-;-;-;-
Very nice sandy beach a rare find in this area.;-;-;positive;-;-;-
Excellent condo unit with hard to beat ocean view private beach and abundance of wild life.;-;-;-;-;-;-
Best kept garden and salt water pool in Maui.;-;-;-;-;-;-
Will be back next year.;-;-;-;-;-;-
Rating Details: The property manager was very helpful.;-;-;-;-;positive;-
The vacation rental was spotless.;positive;-;-;-;-;-
I was very happy with the location.;-;-;positive;-;-;-
I was very satisfied with the condition of the vacation rental.;-;-;-;-;-;-
Overall I recommend this vacation rental.;-;-;-;-;-;-
Reviewer Comments: This was a perfect location for our stay on the beautiful island of Maui!;-;-;positive;-;-;-
Our daughter  husband were in the Xterra World Championships close by in Kapalua.;-;-;-;-;-;-
They were able to focused on trai;-;-;-;-;-;-
You think the pictures are to good to be true but they aren't.;-;-;-;-;-;-
The condo is large and clean could easily accommodate a family of 5 or two couples.;positive;-;-;-;-;-
The lanai overlooks the ocean where you can sit and watch the whales it's unreal.;-;negative;negative;negative;negative;-
We will be back :;-;-;-;-;-;-
I cannot say enough good things about this condo.;-;-;-;-;-;-
It was a great experience from start to finish.;-;-;-;-;-;-
I can tell you our favorite part: the view!;-;-;-;-;-;-
We were fortunate enough to stay here during whale migration season and were amazed to see how spectacular the view was from our balcony.;-;-;-;positive;-;-
Every morning and afternoon we watched pods of whales shoot water into the air and breach as they frolicked in the sea.;-;-;negative;negative;negative;-
The location of the condo is perfect for swimm;-;-;positive;-;-;-
Rating Details: The property manager was more than helpful.;-;-;-;-;positive;-
The vacation rental was spotless.;positive;-;-;-;-;-
I was very happy with the location.;-;-;positive;-;-;-
I was very satisfied with the condition of the vacation rental.;-;-;-;-;-;-
Overall I recommend this vacation rental.;-;-;-;-;-;-
Reviewer Comments: We loved this rental overall!!;-;-;-;-;-;-
Being right on the ocean helped with not having a/c but several of the louvers close with the wind and the ceiling fans really don't help much b/c they ar;-;-;-;-;-;-
Rating Details: The property manager was very helpful.;-;-;-;-;positive;-
The vacation rental was clean.;negative;-;-;-;-;-
I was very happy with the location.;-;-;positive;-;-;-
I was more than satisfied with the condition of the vacation rental.;-;-;-;-;-;-
Overall I recommend this vacation rental.;-;-;-;-;-;-
Reviewer Comments: We love Hale Mahina's location and the fact that it has it's own little beach.;-;-;positive;-;-;-
We've stayed here before but in a different unit.;-;-;-;-;-;-
This particular unit has a bit of an obstructed view build;-;-;-;-;-;-
Our party of four spent 18 nights in Unit B-401.;-;-;-;-;-;-
The condo's location on the top floornorth end made it a perfect location so that the cool breeze could enter through the doors and windows and ventilate the entire unit.;-;-;positive;positive;-;-
Awesome sleeping on the new mattresses in both bedrooms!;-;-;-;-;-;-
The condo's kitchen was well equipped.;-;-;-;positive;-;-
The view from the lanai was breathtaking!;-;-;-;-;-;-
Each morning as we enjoyed our Hawaiian French press coffee the many whale performed;-;positive;-;-;-;-
Was very roomy!;-;-;-;-;-;-
Stunning view of the ocean.;-;-;-;-;-;-
Watched turtles and whales from the deck.;-;-;-;-;-;-
Amazing beach with lots of turtles.;-;-;-;-;-;-
Beautiful sunsets!;-;positive;positive;positive;positive;-
A little more dated than in the photos.;-;-;-;-;-;-
Bed upstairs very uncomfortable.;-;-;-;-;-;-
There was no air conditioning.;-;-;-;negative;-;-
Needs a deep cleaning!;negative;-;-;negative;-;-
Well stocked kitchen cooler boogie boards.;-;-;-;positive;-;-
Overall I would come back again the setting outside is amazing!;-;-;-;-;-;-
Rating Details: The property manager was very helpful.;-;-;-;-;positive;-
The vacation rental was spotless.;positive;-;-;-;-;-
I was very happy with the location.;-;-;positive;-;-;-
I was very satisfied with the condition of the vacation rental.;-;-;-;-;-;-
Overall I recommend this vacation rental.;-;-;-;-;-;-
Reviewer Comments: We stayed from February 23 till March 2 2017.;-;-;-;-;-;-
Awesome views from the lanai and the condo was absolutely wonderful and well equipped with everything that a home should have.;-;-;-;-;-;-
We saw lots of;-;-;-;-;-;-
Cozy direct ocean front condo with sandy private beach and well manicured tropical gardens.;-;-;-;-;-;-
There were six of us the Murphy beds were top notch and provided comfortable and restful nights.;-;-;-;-;-;-
Falling asleep to the sound of the surf is a true delight.;-;-;-;-;-;-
This unit is as advertised Hale Mahina is a great find.;-;-;-;-;-;-
We'll be back as we already have next year's dates reserved. :;-;-;-;-;-;-
We had a wonderful time!;-;-;-;-;-;-
Amazing beach access and beautiful view.;-;-;-;-;-;-
Having young kids was a little hard with the strict pool rules though.;-;-;-;-;-;-
But all in all our trip was amazing!;-;-;-;-;-;-
Very convenient to town and golf course.;-;-;-;-;-;-
Rooms were comfortable and spacious.;-;-;-;positive;-;-
very  nice great staff easy access would love to visit again;-;-;-;-;positive;-
Wonderful hotel with all the amenities needed.;-;-;-;-;-;-
Close walk to the beach and shops.;-;-;negative;-;-;-
The staff was extremely friendly and willing to help on suggestions of restaurants pubs etc.;-;-;-;-;positive;-
We did take advantage of the breakfasts onsite and the cold buffet was more than enough.;-;positive;-;-;-;-
Spacious and clean room in a quiet area.;positive;-;positive;positive;-;-
We had to go to the next small town to do our laundry and get food.;-;negative;-;-;-;-
Clean convenient;positive;-;-;-;-;-
The rooms where very comfortable.;-;-;-;positive;-;-
Sleeping was a dream on the high quality matteess and bedding .;-;-;-;positive;-;-
Front desk staff was very pleasant and helpful with maps and suggestions .;-;-;-;-;positive;-
Lovely small inn within easy walking distance of town center.;-;-;positive;-;-;-
Stayed in an elegantly appointed junior suite with very nice bathroom.;-;-;-;positive;-;-
Staff are very friendly and service oriented.;-;-;-;-;positive;-
Great breakfast.;-;positive;-;-;-;-
Good value.;-;-;-;-;-;-
Easy access to Cliffs of Moher Burren National Park and exploring nearby villages.;-;-;positive;-;-;-
Helpful friendly front desk... delicious breakfast... great location.;-;positive;positive;-;positive;-
Just like Lahinch this place is a gem.;-;-;-;-;-;-
Staff was awesome.;-;-;-;-;positive;-
Hotel was very nice and comfortable.;-;-;-;-;-;-
Restaurant is one of the best in Lahinch.;-;-;-;-;-;-
Nice clean hotel.;positive;-;-;-;-;-
Walking distance to beach and restaurants.;-;-;negative;-;-;-
Would be tough to beat although not for the price conscious.;-;-;-;-;-;-
Everything was excellent breakfast was big and delicious.;-;positive;-;-;-;-
Thin walls was the only issue that was not perfect.;-;-;-;-;-;-
Even though our double room was not spacious we thoroughly enjoyed the old hotel experience.;-;-;-;negative;-;-
The bed was comfortable the room was very clean and the staff was friendly and helpful.;positive;-;-;positive;positive;-
We would definitely go back!;-;-;-;-;-;-
Close enough to the beach for walking but far enough away to be quiet.;-;-;positive;-;-;-
Surprise of having private parking.;-;-;-;-;-;-
While it being a pleasant hotel with lovely staff  my stay was overshadowed by being in a room directly over the entrance.;-;-;-;positive;positive;-
Room 11.;-;-;-;negative;-;-
I heard everybody arriving and leaving and it was like Chinese water torture as I had to be up at 4:30 am to catch a flight.;-;-;-;-;-;-
People knocking loudly on the entrance every so often after midnight meant I didn’t sleep at all.;-;-;-;negative;-;-
I did eat in the restaurant and the food was tasty and filling.;-;positive;-;-;-;-
Disappointed with the Hotel needs updating parking very limited.;-;-;-;-;-;-
Thought it was great place just a fun reminder no elevator.;-;-;-;-;-;-
So don’t bring heavy luggage.;-;-;-;-;-;-
Nice stay central to most attractions in clare food was good little bit on the dear side for starters but mains were reasonably priced.;-;positive;positive;-;-;-
we often go to lahinch.staff at this hotel very friendly and best breakfast even compared with supposedly better hotels;-;negative;-;-;negative;-
Served the purpose well which was a coastal place to stay after our visit to the Cliffs of Moher;-;-;-;-;-;-
Great staff.;-;-;-;-;positive;-
Enjoyed the breakfast.;-;positive;-;-;-;-
The beds were a bit too hard for my taste.;-;-;-;-;-;-
Great hotel unfortunately the awful smell from outside has found its way inside the room albeit mild it is still unpleasant.;negative;-;-;negative;-;-
Liked swimming pool and gym facilities  coffee shop in lobby.;-;positive;-;-;-;-
Breakfast was average and good enough.;-;negative;-;-;-;-
Staff service laundry excellent;-;-;-;-;positive;-
stinky room - suspicious slutty charaters coming in and out saw them while t counter getting a key at check in.;-;-;-;negative;-;-
The hotel was ok. Staff was friendly mainly Mr. Sufyan at the front desk.;-;-;-;-;negative;-
However poor wifi which makes it difficult to do virtual meetings.;-;-;-;-;-;-
Also issues with hot water bathroom was not that great.;-;-;-;negative;-;-
Overall it's a pricey hotel.;-;-;-;-;-;-
Probably won't stay again if I can find an alternative.;-;-;-;-;-;-
First time here at the Residency.;-;-;-;-;-;-
Check in was great experience very prompt.;-;-;-;-;-;-
Room spacious and clean .;positive;-;-;positive;-;-
Fruit basket on arrival in room nice touch.;-;positive;-;positive;-;-
Quiet hotel where you can rest after a long tiring 2 days of air travel.;-;-;-;-;-;-
Highly recommended in good area of Gulberg.;-;-;positive;-;-;-
Good location.;-;-;-;-;-;-
Good room Well placed  Quite location  Worth every penny;-;-;positive;positive;-;-
All was ok.;-;-;-;-;-;-
They have AC timed to shut off at midnight so that they could save on electricity.;-;-;-;-;-;-
That was cheap done on purpose.;-;-;-;-;-;-
A nice hotel no frills but not the best value for money;-;-;-;-;-;-
Room was clean and bed was comfortable.;positive;-;-;positive;-;-
Advertised amenities were not open such as cabana bar.;-;negative;-;-;-;-
Restaurant service and food  was mediocre.;-;negative;-;-;negative;-
However buffet was good.;-;negative;-;-;-;-
The stay was a very good experience in almost everything.;-;-;-;-;-;-
But the room was a bit cold and the pillows too big not so soft;-;-;-;positive;-;-
Nice hotel and golf course.;-;-;-;-;-;-
Staff was very helpful and friendly.;-;-;-;-;positive;-
Wish they had a few more vegetarian options in their restaurants.;-;-;-;-;-;-
Great place.;-;-;-;-;-;-
I can't wait to go back!;-;-;-;-;-;-
This was our first time staying here.;-;-;-;-;-;-
And we loved it.;-;-;-;-;-;-
The hotel is clean and elegant.;positive;-;-;-;-;-
It’s also a great place for kids.;-;-;-;-;-;-
Food is great and the Casino is not smoking and clean.;negative;negative;-;-;-;-
Great service in the Casino.;-;-;-;-;-;-
The pool area is big and lots of room.;-;-;positive;positive;-;-
Loved the lazy river.;-;-;-;-;-;-
We have stayed at the Golden Nugget and this place is right up there.;-;-;-;-;-;-
Great great place!;-;-;-;-;-;-
Exciting and relaxing!;-;-;-;-;-;-
Good vibes all through! !;-;-;-;-;-;-
The hotel was very comfortable and we enjoyed the lazy river and the pool area.;-;-;positive;-;-;-
Amazing casino with great food and location to all sorts of events and restaurant near by not to mention an awesome resort style pool and spa;-;positive;positive;-;-;-
Very elegant resort;-;-;-;-;-;-
Love love love to come here!;-;-;-;-;-;-
We made a planned reservation for a break in our road trip on the way home from South Georgia family reunion.;-;-;-;-;-;-
Pleasantly surprised!!;-;-;-;-;-;-
Beautiful resort delicious food and great service.;-;positive;-;-;positive;-
I requested a crib for my baby as soon as I got to the hotel but they did not send it to my room I had to ask for a second time.;-;-;-;negative;-;-
the room was not clean at the back of the bed.;negative;-;-;negative;-;-
i was looking for my glasses and thinking that maight fall behind the bed I lift the matress and it was so dirty with  food rapers;negative;negative;-;-;-;-
Too expensive for the facility.;-;-;-;-;-;-
It shows that is getting old and not providing proper maintenance.;-;-;-;-;-;-
This is a great place to stay.;-;-;-;-;-;-
Lots of restaurants two pools one for adults and a lazy river.;-;-;-;-;-;-
Only thing that is not great they  allow smoking in to  Casino.;-;-;-;-;-;-
Nice family friendly hotel.;-;-;-;-;positive;-
Would like fridge in room.;-;-;-;positive;-;-
The room was nicebut the hall carpets smelled and could be replaced.;negative;-;-;negative;-;-
It was great.;-;-;-;-;-;-
There was a slight odor for a bit but went away after the a/c was on for a bit;-;-;positive;positive;positive;-
The room was good but not enough towels or coffee let in the room;-;negative;-;negative;-;-
Would love to come again for fun instead of business.;-;-;-;-;-;-
Had an awesome time!;-;-;-;-;-;-
Just loved it!;-;-;-;-;-;-
Beautiful hotel!;-;-;-;-;-;-
Nice friendly employees!;-;-;-;-;positive;-
Wished I would have earned more! Lol;-;-;-;-;-;-
Hotel was just off the freeway so it made it easy to find.;-;-;-;-;-;-
In a great location where you have other entertainment around you.;-;-;positive;-;-;-
Hotel provides a Suttle that will take you from one hotel to another.;-;-;-;-;-;-
Not to mention the pool with witch was amazing and very relaxing.;-;-;-;-;-;-
Over hotel has all the amenities of comfort.;-;-;-;-;-;-
Front desk staff was VERY friendly.;-;-;-;-;positive;-
They sent us a text when our room was available which was many hours before the check in time.;-;-;-;positive;-;-
I appreciated this becuase we were in the area already and it was nice to check in earlier than anticipated.;-;-;positive;-;-;-
Space was very clean.;positive;-;-;-;-;-
Large jacuzzi bathtub.;-;-;-;-;-;-
Enjoyed the fireplace and our patio.;-;-;-;-;-;-
We have stayed here in the past and plan to stay again in the future.;-;-;-;-;-;-
THe hotel was located downtown  and restaurants and shopping next door.;-;-;-;-;-;-
The Room was clean.;positive;-;-;positive;-;-
The hallways need new carpet.;-;-;-;negative;-;-
The carpet in the hallway was very dirty and has many stains on it.;negative;-;-;negative;-;-
The elevator could use a tune up it was very slow.;-;-;-;-;-;-
Rooms were very nice and spacious.;-;-;-;positive;-;-
Great location breakfast was good.;-;positive;positive;-;-;-
Thanks!;-;-;-;-;-;-
The hotel staff was very friendly.;-;-;-;-;positive;-
At check in they made you feel as if you were staying at a small B and B. I would definitely stay at this hotel again.;-;-;-;-;-;-
Close to the beach and in the heart downtown Lake Geneva.;-;-;-;-;-;-
Safe parking.;-;-;-;-;-;-
Weather is amazing location it's good;-;-;positive;-;-;-
Great price for a hotel in this area;-;-;positive;-;-;-
The staff was very friendly.;-;-;-;-;positive;-
The room was spacious.;-;-;-;positive;-;-
The shower was inside the jacuzzi which was a little challenging to get in and out of but we managed.;-;-;-;positive;-;-
The location was in walking distance to the lake.;-;-;-;-;-;-
Traffic can make it a little noisy in the morning.;-;-;-;-;-;-
All in all the hotel was very nice.;-;-;-;-;-;-
Very clean and comfortable inn.;positive;-;-;-;-;-
Staff was pleasant and always available.;-;-;-;-;positive;-
Some items in the room could use updating but not bad.;-;-;-;positive;-;-
I'd stay here again!;-;-;-;-;-;-
It was good.;-;-;-;-;-;-
However be aware there is no on-site bar or restaurant.;-;negative;-;-;-;-
They do have a breakfast set-up in the morning and it was delicious.;-;positive;-;-;-;-
The personnel were friendly and helpful.;-;-;-;-;positive;-
I would book again.;-;-;-;-;-;-
Very nice hotel clean and comfortable beds.;positive;-;-;-;-;-
A lot of room located near downtown and the lake.;-;-;negative;negative;-;-
Rooms have great commodities!;-;-;-;positive;-;-
We had a great stay in this comfortable room.;-;-;-;positive;-;-
We really appreciated the in room full kitchen.;-;-;-;positive;-;-
The A/C worked great which we appreciated after a day of temperatures in the 90s.;-;-;-;-;-;-
The room also has a spa tub with water jets which was nice after being in the heat on our feet all day.;-;-;-;positive;-;-
The breakfast provided by the hotel is also quite good.;-;positive;-;-;-;-
Everyone was very helpful and we definitely will be back!;-;-;-;-;-;-
This charming quiet hotel is located in a lovely setting just steps from downtown and the lake.;-;-;-;-;-;-
We enjoyed our stay in the very clean well-equipped suites.;positive;-;-;-;-;-
Great staff.;-;-;-;-;positive;-
It was our fourth time staying in Mill Creek's hotel and we couldn't be happier with the place.;-;-;-;-;-;-
It's a very clean cosy and kids friendly hotel.;positive;-;-;-;positive;-
You get a suite with a fireplace for the same price that other hotels ask for a hotel room so it's definitely worth it.;-;-;-;positive;-;-
The hotel has cute and clean pool with a hot tub.;negative;-;-;-;-;-
We loved our stay there and we will be back.;-;-;-;-;-;-
Cleancozy hotel close to downtown and lake.;-;-;-;-;-;-
Continental breakfast included!;-;positive;-;-;-;-
Hotel is right in the center of downtown Geneva convenience to the shops and the beach.;-;-;-;-;-;-
Continental breakfast has a little bit to be desired.;-;negative;-;-;-;-
Huge room.;-;-;-;positive;-;-
Very clean.;positive;-;-;-;-;-
Steps away from the beautiful lake and great shopping.;-;-;positive;positive;positive;-
Plenty of dining options all around.;-;-;-;-;-;-
Perfect location.;-;-;positive;-;-;-
Such nice rooms right in downtown Lake Geneva!;-;-;-;positive;-;-
Includes a kitchenette and  balcony.;-;-;-;positive;-;-
1 block from the lake and shopping.;-;-;-;-;-;-
A very roomy and clean room located near the lake 1 block.;positive;-;positive;positive;-;-
A delightful woman on duty April who was not only helpful but a joy to converse with.;-;-;-;-;-;-
Definitely will stay there next time in the area.;-;-;positive;-;-;-
Very very nice staff clean room.;positive;-;-;positive;positive;-
Tv outdated and could not get cable.;-;-;-;negative;-;-
Needs some repairs.;-;-;-;-;-;-
For the price it was adequate since we did not stay a lot in our room.;-;-;-;-;-;-
Good location;-;-;-;-;-;-
We have stayed at a few different hotels in Lake George and this has been the best.;-;-;-;-;-;-
Very nicely ran.;-;-;-;-;-;-
Brad was very friendly and helpful.;-;-;-;-;positive;-
The room was beyond clean comfy bed and nice towels.;positive;-;-;positive;-;-
Quite and peaceful.;-;-;-;-;-;-
We can’t say enough about this place.;-;-;-;-;-;-
We will go back.;-;-;-;-;-;-
Hotel was very accommodating.;-;-;-;-;-;-
Nice hot tub and sauna.;-;-;-;-;-;-
Beds were very comfortable.;-;-;-;-;-;-
Very nice owners;-;-;-;-;-;-
advertise breakfastthen continental breakfast we received neither;-;negative;-;-;-;-
room was fine nothing special was close to our ebent but quite pricey and many amenities shut down.;-;-;-;negative;-;-
price should be reduced if stuff not available.;-;-;-;-;-;-
This was a nice clean hotel and close to Lake George.;positive;-;-;-;-;-
The rooms aren't updated but I wasn't there to stay in my room all week I was there to sleep and get ready for the day.;-;-;-;-;-;-
There is no breakfast but they do have a pool and some hot tubs.;-;negative;-;-;-;-
I definitely would recommend this hotel and I would stay again if I don't want to be staying right in the middle of town.;-;-;-;-;-;-
Located between Lake George Village and the Outlet malls this hotel was perfect for what we were looking for.;-;-;positive;positive;positive;-
The two gentlemen we dealt with upon check-in and when we needed pool towels etc were very friendly.;-;-;-;-;positive;-
Rooms were clean quiet and a/c worked great.;positive;-;-;positive;-;-
The pool and surrounding area were also clean.;positive;-;positive;-;-;-
Coffee and donuts in the morning.;-;negative;-;-;-;-
We will be staying here in the future for sure.;-;-;-;-;-;-
No wifi in our rooms.;-;-;-;negative;-;-
The bathroom is very small.;-;-;-;negative;-;-
Rug is duty.;-;-;-;-;-;-
I don't know why they charge 121/night.;-;-;-;-;-;-
Not recommend.;-;-;-;-;-;-
Quiet clean and excellent location!;positive;-;positive;-;-;-
Very easy to get to and from great shopping and awesome food right near by.;-;positive;positive;-;-;-
Bed was super comfy and shower was awesome!;-;-;-;positive;-;-
Quiet porch and just a serene setting.;-;-;-;-;-;-
Plus a great outdoor pool!;-;-;-;-;-;-
Very pleasant and clean.;positive;-;-;-;-;-
Geat location close to downtown Lake George.;-;-;negative;-;-;-
I will definitely stay there again.;-;-;-;-;-;-
The room was very clean air condition work great the way we like it.;positive;-;-;positive;-;-
5 minutes from Lake George just take Route 9 and you went right into Lake George.;-;-;-;-;-;-
Had a wonderful stay thank you.;-;-;-;-;-;-
The staff was friendly and the room was clean.;positive;-;-;positive;positive;-
Comfortable bedsvery clean and quiet.hotel check in very accomadating;positive;-;-;-;-;-
Quiet comfortable and good for the price.;-;-;-;-;-;-
The location was close to a lot of places to see but far enough away to make it quiet.;-;-;positive;-;-;-
Bathroom was a little cramped.;-;-;-;positive;-;-
Other than that quite happy.;-;-;-;-;-;-
Everything was great about this hotel except the water pressure for the shower.;-;-;-;positive;-;-
This is an exceptionally clean motel.;-;-;-;-;-;-
Nice hotel.;-;-;-;-;-;-
We loved the heated pool and hot tub.;-;-;-;-;-;-
Would stay again.;-;-;-;-;-;-
It was great room was clean staff super friendly pool was amazing.;positive;-;-;positive;positive;-
Very nice place to stay for the price clean and quiet.;positive;-;-;-;-;-
Located between Lake George Village and the shopping outlets.;-;-;-;-;-;-
Also right on the bike path if you want to ride jog or walk.;-;-;positive;-;-;-
Wonderful staff.;-;-;-;-;positive;-
Quiet area.;-;-;positive;-;-;-
Nice pool.;-;-;-;-;-;-
Enjoyed having a little porch with seating area.;-;-;positive;-;-;-
Very nice place to stay and had a very friendly staff!;-;-;-;-;positive;-
Property wast great staff was awesome rooms really clean and quite area;positive;-;positive;positive;positive;-
The room smelled old and stuffy.;negative;-;-;negative;-;-
But clean.;positive;-;-;-;-;-
The staff very friendly.;-;-;-;-;positive;-
Great place and big rooms with one king and one queen bed which was ideal with kids.;-;-;-;positive;-;-
Have heated pool and hottub.;-;-;-;-;-;-
The staff is very friendly and helpful and the room service is nice as well.;-;-;-;positive;positive;-
Internet is very slow next to nothing but I would certainly recommend to anyone planning to stay here.;-;-;-;-;-;-
It’s away from the lake so you get the quiet time when you need it.;-;-;-;-;-;-
Lovely wood and stone house.;-;-;-;-;-;-
Beautiful views and setting.;-;-;-;-;-;-
The staff was wonderful.;-;-;-;-;positive;-
Staff was accommodating to my needs.;-;-;-;-;positive;-
Very friendly!;-;-;-;-;positive;-
Amazing view of the lake!;-;-;-;-;-;-
Fabulous lunch and great wine selection.;-;positive;-;-;-;-
Small plates at the bar was a nice touch.;-;positive;-;-;-;-
Loved the shrimp cocktail and bartender was great- knew his stuff!;-;positive;-;-;positive;-
Great old fashioned... it was a true delight to get away for our 25th wedding anniversary!;-;-;positive;positive;positive;-
Definitely will return.;-;-;-;-;-;-
Loved my recent stay at the Inn.;-;-;-;-;-;-
Looking forward to my next visit.;-;-;-;-;-;-
Everything was lovely. !;-;-;-;-;-;-
Great place to unwind and relax.;-;-;-;-;-;-
Food quality could be better;-;positive;-;-;-;-
Very nice room for the price and staff was very pleasant only regret was only 1 check in cart;-;-;-;positive;positive;-
Great pleasant stay.;-;-;-;-;-;-
Convenient location.;-;-;positive;-;-;-
Friendly staff and great atmosphere.;-;-;-;-;positive;-
Work on the internet ;-;-;-;-;-;-
My expectations were high and overall wasn't disappointed.;-;-;-;-;-;-
However it seems they are slowly renovating which that completed looks very good.;-;-;-;-;-;-
Some areas outside in badly need to painting - so much so some wood will need replacing.;-;-;negative;-;-;-
Some staff seemed tired from busy summer months maybe could have been a bit more outgoing but still professional.;-;-;-;-;positive;-
I'd definitely stay at Geneva Inn again.;-;-;-;-;-;-
Amazing.;-;-;-;-;-;-
Pleasantly surprised and extremely satisfied;-;-;-;-;-;-
Great views and an clean place so stay.;positive;-;-;-;-;-
Very nice.;-;-;-;-;-;-
Suite with balcony and lake view exactly as described.;-;-;-;positive;-;-
It was a beautiful view.;-;-;-;-;-;-
The suite was big and exactly what we wanted for our weekend away.;-;-;positive;positive;positive;-
We enjoyed our stay at the Geneva Inn.;-;-;-;-;-;-
All the special touches made us feel very special turn down each evening with chocolates and liqueur and coffee bar in the hallway in the morning.;-;positive;-;-;-;-
Staff was super nice!;-;-;-;-;positive;-
Check in was rocky;-;-;-;-;-;-
Very nice place to stay no pool great location on lake;-;-;negative;-;-;-
This was a nice quite place to recharge.;-;-;-;-;-;-
Staff was excellent food great and nice view.;-;positive;-;-;positive;-
Good location to walk around.;-;-;-;-;-;-
Was a very big comfortable Jing bed and room had a balcony.;-;-;-;positive;-;-
It would have been better with the lakeside view but was nice.;-;-;-;-;-;-
Very big bathroom and was excited to see a whirlpool tub as well as a large shower.;-;-;-;positive;-;-
The whirlpool jets were perfect.;-;-;-;-;-;-
We ate dinner at the hotel for our anniversary.;-;positive;-;-;-;-
It was a  little expensive at but it was really good food.;-;positive;-;-;-;-
Beautiful watching the sunset ask for a window seat at the restaurant.;-;-;-;positive;-;-
Didn't have paper towels or napkins in kitchen area also staff not very personal only one person at desk spoke when coming in and out;-;-;negative;negative;negative;-
Right on the lake.;-;-;-;-;-;-
Beautiful view in the restaurant but I wouldn't recommend eating there unless you like your breakfast cold when it should be delivered hot.;-;positive;-;-;-;-
Ok. We just wanted a good night's rest.;-;-;-;-;-;-
Did not like the check in.;-;-;-;-;-;-
You had to call a phone number for someone to come and open the office.;-;-;-;-;-;-
I did not have a phone to call with.;-;-;-;-;-;-
Waited 15 minutes when someone lent us a phone to call.;-;-;-;-;-;-
Bed was uncomfortable.;-;-;-;-;-;-
Bad wifi.;-;-;-;-;-;-
Awesome location .;-;-;positive;-;-;-
staff friendly courteous and professional   Excellent experience we decided to return again.;-;-;-;-;positive;-
This is our second stay here.;-;-;-;-;-;-
Old gross rooms smell floors slant.;negative;-;-;negative;-;-
Don't stay here I couln't sleep afraid of bed bugs.;-;-;-;-;-;-
Just awful.;-;-;-;-;-;-
First there was not enough parking so I had to park way away from the room.;-;-;-;negative;-;-
I stayed in a first floor room and it sounded like there was just a sheet between us and the upstairs room.;-;-;-;negative;-;-
The banging from walking went on all morning.;-;-;negative;-;-;-
Zero hot water for the shower.;-;-;-;negative;-;-
Bed was OK room was clean.;negative;-;-;negative;-;-
If you are looking for a place to just crash after a night of going out partying then compared to the other motels it was worth the money.;-;-;-;-;-;-
This place is old school right out of the 60's which I can appreciate.;-;-;-;-;-;-
These are the little motels we used to stay at as kids growing up.;-;-;-;-;-;-
Nothing fancy just a place to rest your head after a full day of taking in the Lake George area.;-;-;-;-;-;-
If you are expecting luxury you will be disappointed but for the price it works.;-;-;-;-;-;-
Poor staff that never pick up the phone.;-;-;-;-;negative;-
People in the parking lot doing beer bongs and driving around at 10 AM.;-;negative;-;-;-;-
Looks like a bed bug and mildew paradise.;-;-;-;-;-;-
After seeing the place I was not surprised to see used condoms in the parking lot and of course through all of this NO REFUND!;-;-;-;-;-;-
Well-located friendly staff and very clean.;positive;-;-;-;positive;-
My only negative point is that the Wifi was spotty.;-;-;-;-;-;-
We'd definitely book there again ;-;-;-;-;-;-
Very good location !;-;-;positive;-;-;-
Close to food.;-;positive;-;-;-;-
Room was overall clean but Needs updating.;negative;-;-;negative;-;-
The beds arent the most confortable around.;-;-;-;-;-;-
Very nice staff.;-;-;-;-;positive;-
Only thing the wifi Didnt work which really sucked.;-;-;-;-;-;-
Great customer service Lizette was absolutely wonderful!;-;-;-;-;positive;-
Nice location.;-;-;positive;-;-;-
Would stay here again.;-;-;-;-;-;-
Just needed 1 night most places in Lake George have a min 2 night stay...This place offers 1 night stay or more...;-;-;-;-;-;-
We stay here every year.;-;-;-;-;-;-
It's clean quiet simple and comfortable.;positive;-;-;-;-;-
